query_id,query,k,rank,score,doc_id,retrieved_text,is_relevant_manual,notes
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,3,1,0.8388268947601318,rag_Fashion_15688961339,"Anh Đ. (37 tuổi, ngụ Đồng Nai) từng than thở về câu chuyện trớ trêu trên của chính mình. Anh là dân buôn bán, chị vẫn thường theo phụ nhưng tập trung phần lớn để chăm con. Kinh Đang yên lành, vợ chồng thắm thiết thì anh hay tin vợ và gia đình đã làm xong thủ tục cho tài sản, ra sổ một mảnh đất nhưng gần như ai cũng giấu anh. Hỏi han vài nơi, anh biết được chỉ chị vợ đứng tên trên tài sản ấy. Anh Đ. tâm sự vì làm chủ được kinh tế, nên dù mảnh đất đó có giá trị lớn, anh ít quan tâm. Điều khiến anh buồn và khó hiểu rồi nghĩ mãi không tìm được lý do mọi người phải giấu anh chuyện ấy. Để con cái khỏi buồn phiền, anh ngậm ngùi quyết định vờ như không biết. Cơn giận, bao buồn bực như được đẩy lên đỉnh điểm khi anh hay tin chị vợ đã chi hơn 100 triệu đồng để làm thủ tục sang tên, đóng thuế, chuyển đổi mục đích... Dù có là ""của chồng công vợ"" đi nữa, nhưng nhìn nhận thực tế thì toàn bộ tài sản mà gia đình có đều nhờ phần lớn sự nỗ lực bươn chải của anh Đ. mà nên. ""Biết làm sao đây?! Vài ba tỉ chả đáng, nhưng buồn lắm. Xổ ra là banh chành ngay. Tui nóng tính mà, còn đằng vợ chắc cũng sẽ rùm beng"", anh Đ. trong một lần than thở. Ai cũng có phần lý của mình, khi sau vài lần anh thăm dò, chị cho rằng đó là ý kiến của bố mẹ và ""cũng là của cải của hai vợ chồng thôi"". Còn với anh thì đó là một hành động xúc phạm và khiến mình tự ái lắm.",0,"0: nội dung đời sống/hôn nhân, không phải review sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,3,2,0.8361831903457642,rag_HealthBeauty_10488880695,"Với e thì đây là quy chuẩn. thái độ và chất lượng luôn là 2 yếu tố song song cùng nhau. Còn packaging chỉ là điểm thêm vào thôi ạ. Nhà e dùng túi giấy, khách có thể sử dụng nhiều lần. Nhưng nếu như là hộp/ tag khách chỉ giữ 1-2 lần đầu thôi. Và 10 khách thì mới có 1 khách giữ lại toàn bộ tag/ hộ để sử dụng và sưu tầm. Nên dù làm gì mình cũng nên đầu tư nhiều nhất vào cách chăm sóc khách cũ - thu hút khách mới và sản phẩm. Packaging lâu lâu đổi 1 mẫu mới cũng có 1 cách thu hút lại khách mà hêhhe 😍",0,"0: nói chung về thái độ/chất lượng/packaging, không phải phàn nàn chất lượng sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,3,3,0.8334847092628479,rag_HomeLifestyle_15741731978,"Bởi vậy, từ lâu rồi mình đã rút ra kinh nghiệm là giận nhau sẽ 1 mình suy nghĩ đúng hay sai và cần thì hỏi người đang hạnh phúc đừng hỏi người đang độc thân hay ế chổng ế cheo 🤣(chủ yếu nhận xu)",0,0: bình luận ngoài chủ đề.
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,5,1,0.8388268947601318,rag_Fashion_15688961339,"Anh Đ. (37 tuổi, ngụ Đồng Nai) từng than thở về câu chuyện trớ trêu trên của chính mình. Anh là dân buôn bán, chị vẫn thường theo phụ nhưng tập trung phần lớn để chăm con. Kinh Đang yên lành, vợ chồng thắm thiết thì anh hay tin vợ và gia đình đã làm xong thủ tục cho tài sản, ra sổ một mảnh đất nhưng gần như ai cũng giấu anh. Hỏi han vài nơi, anh biết được chỉ chị vợ đứng tên trên tài sản ấy. Anh Đ. tâm sự vì làm chủ được kinh tế, nên dù mảnh đất đó có giá trị lớn, anh ít quan tâm. Điều khiến anh buồn và khó hiểu rồi nghĩ mãi không tìm được lý do mọi người phải giấu anh chuyện ấy. Để con cái khỏi buồn phiền, anh ngậm ngùi quyết định vờ như không biết. Cơn giận, bao buồn bực như được đẩy lên đỉnh điểm khi anh hay tin chị vợ đã chi hơn 100 triệu đồng để làm thủ tục sang tên, đóng thuế, chuyển đổi mục đích... Dù có là ""của chồng công vợ"" đi nữa, nhưng nhìn nhận thực tế thì toàn bộ tài sản mà gia đình có đều nhờ phần lớn sự nỗ lực bươn chải của anh Đ. mà nên. ""Biết làm sao đây?! Vài ba tỉ chả đáng, nhưng buồn lắm. Xổ ra là banh chành ngay. Tui nóng tính mà, còn đằng vợ chắc cũng sẽ rùm beng"", anh Đ. trong một lần than thở. Ai cũng có phần lý của mình, khi sau vài lần anh thăm dò, chị cho rằng đó là ý kiến của bố mẹ và ""cũng là của cải của hai vợ chồng thôi"". Còn với anh thì đó là một hành động xúc phạm và khiến mình tự ái lắm.",0,"0: nội dung đời sống/hôn nhân, không phải review sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,5,2,0.8361831903457642,rag_HealthBeauty_10488880695,"Với e thì đây là quy chuẩn. thái độ và chất lượng luôn là 2 yếu tố song song cùng nhau. Còn packaging chỉ là điểm thêm vào thôi ạ. Nhà e dùng túi giấy, khách có thể sử dụng nhiều lần. Nhưng nếu như là hộp/ tag khách chỉ giữ 1-2 lần đầu thôi. Và 10 khách thì mới có 1 khách giữ lại toàn bộ tag/ hộ để sử dụng và sưu tầm. Nên dù làm gì mình cũng nên đầu tư nhiều nhất vào cách chăm sóc khách cũ - thu hút khách mới và sản phẩm. Packaging lâu lâu đổi 1 mẫu mới cũng có 1 cách thu hút lại khách mà hêhhe 😍",0,"0: nói chung về thái độ/chất lượng/packaging, không phải phàn nàn chất lượng sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,5,3,0.8334847092628479,rag_HomeLifestyle_15741731978,"Bởi vậy, từ lâu rồi mình đã rút ra kinh nghiệm là giận nhau sẽ 1 mình suy nghĩ đúng hay sai và cần thì hỏi người đang hạnh phúc đừng hỏi người đang độc thân hay ế chổng ế cheo 🤣(chủ yếu nhận xu)",0,0: bình luận ngoài chủ đề.
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,5,4,0.8321719765663147,rag_Electronic_16025593733,"Từ đầu trêu shop là trả hàng mà shop tin thật,buồn cười quá",0,"0: có chữ trả hàng nhưng là nói đùa, không nêu lỗi chất lượng."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,5,5,0.8320325613021851,rag_Electronic_11747832263,Tý thì trả hàng lại cho shop vì loay hoay tìm nút Reset để cài đặt lại máy,0,"0: suýt trả hàng vì không tìm thấy nút reset, không phải lỗi chất lượng sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,10,1,0.8388268947601318,rag_Fashion_15688961339,"Anh Đ. (37 tuổi, ngụ Đồng Nai) từng than thở về câu chuyện trớ trêu trên của chính mình. Anh là dân buôn bán, chị vẫn thường theo phụ nhưng tập trung phần lớn để chăm con. Kinh Đang yên lành, vợ chồng thắm thiết thì anh hay tin vợ và gia đình đã làm xong thủ tục cho tài sản, ra sổ một mảnh đất nhưng gần như ai cũng giấu anh. Hỏi han vài nơi, anh biết được chỉ chị vợ đứng tên trên tài sản ấy. Anh Đ. tâm sự vì làm chủ được kinh tế, nên dù mảnh đất đó có giá trị lớn, anh ít quan tâm. Điều khiến anh buồn và khó hiểu rồi nghĩ mãi không tìm được lý do mọi người phải giấu anh chuyện ấy. Để con cái khỏi buồn phiền, anh ngậm ngùi quyết định vờ như không biết. Cơn giận, bao buồn bực như được đẩy lên đỉnh điểm khi anh hay tin chị vợ đã chi hơn 100 triệu đồng để làm thủ tục sang tên, đóng thuế, chuyển đổi mục đích... Dù có là ""của chồng công vợ"" đi nữa, nhưng nhìn nhận thực tế thì toàn bộ tài sản mà gia đình có đều nhờ phần lớn sự nỗ lực bươn chải của anh Đ. mà nên. ""Biết làm sao đây?! Vài ba tỉ chả đáng, nhưng buồn lắm. Xổ ra là banh chành ngay. Tui nóng tính mà, còn đằng vợ chắc cũng sẽ rùm beng"", anh Đ. trong một lần than thở. Ai cũng có phần lý của mình, khi sau vài lần anh thăm dò, chị cho rằng đó là ý kiến của bố mẹ và ""cũng là của cải của hai vợ chồng thôi"". Còn với anh thì đó là một hành động xúc phạm và khiến mình tự ái lắm.",0,"0: nội dung đời sống/hôn nhân, không phải review sản phẩm."
q01,Khách hàng phàn nàn gì về chất lượng sản phẩm?,10,2,0.8361831903457642,rag_HealthBeauty_10488880695,"Với e thì đây là quy chuẩn. thái độ và chất lượng luôn là 2 yếu tố song song cùng nhau. Còn packaging chỉ là điểm thêm vào thôi ạ. Nhà e dùng túi giấy, khách có thể sử dụng nhiều lần. Nhưng nếu như là hộp/ tag khách chỉ giữ 1-2 lần đầu thôi. Và 10 khách thì mới có 1 khách giữ lại toàn bộ tag/ hộ để sử dụng và sưu tầm. Nên dù làm gì mình cũng nên đầu tư nhiều nhất vào cách chăm sóc khách cũ - thu hút khách mới và sản phẩm. Packaging lâu lâu đổi 1 mẫu mới cũng có 1 cách thu hút lại khách mà hêhhe 😍",0,"0: nói chung về thái độ/chất lượng/packaging, không phải phàn nàn chất lượng sản phẩm."
