review_id,text,rating,sentiment,text_length
sent_000112,"Ncc bán hàng kì quá, để giá 565k nhưng khi chọn kệ màu trắng thì tăng giá thành 745k nhưng thôi mình cũng mua & đã thanh toán, qua hôm sau vào xem lại thấy giảm kệ trắng còn có 565k thôi, sao không giảm ngay từ đầu cho khách hàng chung 1 mức giá mà để 2 giá như vậy, sau 1 ngày lại giảm 😥😥😥",1,negative,67
sent_002519,"Tai nghe thì chập chờn, cảm biến gia tốc lúc được lúc không, lấy tai nghe ra khỏi tai roi vẫn còn hát, thậm chí đeo lại vào tai cũng tự out fai dùng thao tác tay bấm vào điện thoại, tai nghe chập chờ, ai mua nên suy nghĩ vì giá cao mà trải nghiệm kém quá, đã gửi trả lại hàng ngày 16",1,negative,65
sent_002503,"Chiều hôm 30/12 mình có đặt mua sản phẩm, thời gian giao hàng 2h ok nhưng sản phẩm giao tới tuy còn seal nhưng là đã đóng lại sau khi qua hải quan, bên trong hộp sạc cực kì bẩn, bẩn vào cả tai nghe, cũng vì vậy mà mình lau sơ và không biết bị trầy, cứ tưởng là vết bẩn",1,negative,62
sent_000125,"sản phẩm kệ được thiết kế các ô to nhỏ xen kẽ theo kiểu zich zac, vậy mà các lỗ khoan vít lại khoan đối xứng nhau ở hai thanh cạnh, chẳng hiểu thợ làm ăn như nào, ko biết có đổi lại được không và nếu đổi được thì có phải mất phí ship lần nữa ko",1,negative,58
sent_002499,"Bảo hành rất tào lao, vợ mình xài rất kỹ có mua cover tránh trầy xước vỏ sạc và lau chùi rất kỹ, khi trả bảo hành cho mình là 1 cái tai nghe cũ mèm dơ lấm lem đầy rái tai, tra thông tin Web apple thì ko ra ngày bảo hành chỉ có thông tin sp",1,negative,58
sent_000085,"Tôi đặt hàng và thanh toán trước (Visa ngày 18/6/2020)và gói TIKI NOW, Tiki báo giao trước 12h (19/6/2020), co người dt và nhắn tin giao trước 15h (19/6/20), mình phải đi làm, nhờ nhà hàng xóm nhận giúp, vậy mà đến sáng 22/6/20 vẫn chưa giao mà cũng không 1 cuộc điện thoại báo hồi lại",1,negative,57
sent_002512,"sản phẩm quá tệ, mới sử dụng được 23 ngày bị hư mất 1 tai, mình mua của Tiki Trading, và sử dụng tiki now, theo như mô tả thì đúng ra mình sẽ được đổi trả sản phẩm trong 30 ngày khi sử dụng tiki now, thế mà mình chỉ được bảo hành sản phẩm",1,negative,56
sent_002572,"Mới nhận được hàng, nhìn bên ngoài đóng gói rất kỹ, bên trong còn có bao chống sốc, tuy nhiên quá thất vọng khi lấy sản phẩm ra, chưa sử dụng đã bể 1 góc gần bằng bàn tay, độ dày thì mỏng hơn nhiều so với tấm đã mua trước đó",1,negative,52
sent_000057,"Mới nhận được hàng trưa nay, hàng nặng đã loay hoay lắp còn gặp ngay trường hợp lỗ không khớp vậy thì làm sao mà lắp được?! Cần gấp đã chờ đợi có hàng để sắp xếp đồ đạc mà tới hôm nay nhận được sản phẩm lỗi như thế này",1,negative,51
sent_002082,"Tai nghe nghe đc có 1 bên thôi nt shop k thèm trả lời 🙃🙂thái độ shop cực kém k thèm rép tn ng mua dù nt 4,5 ngày rồi thái độ cực kỳ kém 😤, k ý kiến j khi mặt hàng bị lỗi hay sai sót quá chán 😒",1,negative,51
sent_002521,"Mình mới mua về và mở hộp thì thấy sp bị trầy xước, khi mở hộp thì kết nối hiện baby’s airpod như trên hình, chứng tỏ là đã qua sử dụng! Mình thật sự thất vọng về tiki trading, đã mua mắc hơn ở ngoài mà vẫn bị như z",1,negative,51
sent_000132,"mình có đặt mua 1 kệ, dat hang tu 15/10 , nhưng đến 30/10 mới giao, do bận việc hôm nay mới mở kiện hàng ra lắp, kệ lắp gần xong phát hiện thiếu 1 thanh ngang dài như hình, nhờ shop chịu khó gửi bổ sung cho mình nhé",1,negative,50
sent_002373,"Gia công quá kém ko giống ảnh chụp, đúng là quảng cáo ae mua cho vui chứ chán lắm đặt 5 cái có 50k mà đc tầm 2 cái còn tương đối ok còn lại cái nghe đc cái ko ,nghe kém 10k đc v là cx ổn r",1,negative,49
sent_002633,Màu sắc và sản phẩm giống hình! Nhưng đường may thì quá tệ! Nhận hàng là đã bung đường chỉ may 1 ít! Giặt 1 lần thì bung chỉ tùm lum luôn! Mua 1 lúc 5 sản phẩm thì cả 5 sản phẩm đều ko hài lòng cho lắm!,1,negative,49
sent_001622,"Mình có đặt hàng Bình giữ nhiệt Lock&Lock RigaTumbler (897 ml) màu đỏ, có nhận được mail phản hồi là ngày thứ 3 (09/07/2019) giao hàng, nhưng đến nay là thứ 5 (11/07/2019) vẫn chưa có ai gọi điện thông báo giao hàng trễ hay như thế nào",1,negative,48
sent_002084,"Tai nghe gì đâu, đặt hai cái thì hư cả, chẳng nghe được, một cái thì hư không nghe được, còn cái kia thì nghe được một bên tai còn bên còn lại hư!! Quá chán, rẻ thì rẻ nhưng phải bán hàng có chất lượng chứ!!!",1,negative,47
sent_002506,"Mình cũng giống nhiều bạn gặp vấn đề thỉnh thoảng tai trái ko có kết nối, mối nối ko liền lạc khiến tai bị bắt bụi rất khó chịu , serial trên hộp đựng và trên tai nghe ko trùng nhau mặc dù mình bóc seal hộp",1,negative,47
sent_000203,"Mua về đem ra hì hục lắp, mà ai ngờ bên bán khoan lỗ sai vị trí làm lắp mãi không được, tốn cả buổi tối, đề nghị tiki giải quyết cho mình, đã gọi điện cho bộ phận chăm sóc khách hàng của tiki rồi",1,negative,46
sent_001811,"Mua cái tai nghe mà giao cái này cho mình là sao , nhắn tin hỏi thì ko rep mặc dù đag onl , shop làm ăn gian dối , sẽ ko bao giờ mua hàng của shop lần nào nữa, , đúng là lừa đảo",1,negative,46
sent_002502,"Mình có một đơn hàng mua sản phẩm hồi tháng 8 năm trước, gần một tháng nay tai nghe của mình bị lỗi nên mình gọi bảo hành và câu trả lời nhận được sau bao nhiêu lần từ chối và kéo dài thời gian là:",1,negative,46
sent_001799,"Tai nghe để màu trắng,đơn hàng giao cũng để tai nghe màu trắng,mở ra dây màu trắng tai màu đen ko ăn nhập gì,đã vậy 1 loa nghe đc loa ko nghe đc,shop nhắm bán được thì bán chứ bán kiểu vậy thất đức lắm",1,negative,45
sent_002637,"khi nhận hàng thì đúng về màu và mẫu mã như hình nhưng thật buồn khi cho ra sử dụng, các bạn biết không đặt hàng là 1,8m x 2m vậy mà hàng chi có 1,7m x 1,85m thì đệm giường nào cho vừa đây",1,negative,45
sent_004441,"Sản phẩm sai giao mẫu, đặt cái mẫu rõ đẹp rõ sang xong thời gian giao hàng về là 1 cái mẫu cho trẻ con, chú shipper và khá cọc cằn, nói chuyện qua điện thoại hay ship đến cũng nói chuyện rất khó chịu",1,negative,45
sent_004461,"Sản phẩm sai giao mẫu, mua cái mẫu rõ đẹp rõ sang xong thời gian giao hàng về là 1 cái mẫu cho trẻ con, chú shipper và khá cọc cằn, nói chuyện qua điện thoại hay ship đến cũng nói chuyện rất khó chịu",1,negative,45
