normalized_text,num_occurrences,unique_ratings,unique_sentiment_labels,conflict_label
bên ngoài cửa sản phẩm bán lẻ có đặt nhầm phải gửi đi gửi lại các bạn vui lòng ghé cửa sản phẩm để rút kinh nghiệm cho những khách sản phẩm sau,2,[3],"[""neutral""]",False
bình giữ nhiệt rất tốt,4,[5],"[""positive""]",False
bình giữ nhiệt tốt,4,[4],"[""positive""]",False
bình nhìn đẹp,7,[4],"[""positive""]",False
bình như hình,2,[3],"[""neutral""]",False
bình rất đẹp,2,[5],"[""positive""]",False
bình tốt,3,[4],"[""positive""]",False
bình đẹp,7,[4],"[""positive""]",False
"bình đẹp, giữ nhiệt tốt",5,[5],"[""positive""]",False
bạn ơi mấy mẫu khác mình đặt đúng màu mà sao mẫu 8 bạn gửi không đúng như ảnh vậy,2,[2],"[""negative""]",False
bạn ơi mấy mẫu khác tôi đặt đúng màu mà sao mẫu 8 bạn gửi không đúng như ảnh vậy,2,[2],"[""negative""]",False
"bạn ơi, mình đặt đúng màu cho các mẫu khác mà sao mẫu 8 bạn gửi lại không khớp với ảnh vậy bạn?",2,[2],"[""negative""]",False
"bạn ơi, tôi đặt đúng màu cho các mẫu khác mà sao mẫu 8 bạn gửi lại không khớp với ảnh vậy bạn?",2,[2],"[""negative""]",False
bắt đầu mua hàng từ ngày 11/11 nhưng đến ngày 19 mới thời gian giao hàng cho người vận chuyển,2,[2],"[""negative""]",False
bắt đầu đặt hàng từ ngày 11/11 nhưng đến ngày 19 mới thời gian giao hàng cho người vận chuyển,2,[2],"[""negative""]",False
chuyển phát nhanh,2,[4],"[""positive""]",False
"chăn màu hơi đậm hơn hình, phù hợp giá tiền nhưng giao sản phẩm quá lâu, dự kiến ngày 11 mà tận 13 mới nhận",2,[2],"[""negative""]",False
"chăn màu hơi đậm hơn hình, phù hợp giá tiền nhưng thời gian giao hàng quá lâu, dự kiến ngày 11 mà tận 13 mới nhận",2,[2],"[""negative""]",False
chăn màu hơi đậm so với hình phù hợp với giá cả nhưng thời gian giao sản phẩm lâu quá,2,[2],"[""negative""]",False
chăn màu hơi đậm so với hình phù hợp với giá cả nhưng thời gian thời gian giao hàng lâu quá,2,[2],"[""negative""]",False
chưa hài lòng lắm vì giao sản phẩm k đúng mẫu,2,[2],"[""negative""]",False
chưa hài lòng lắm vì thời gian giao hàng k đúng mẫu,2,[2],"[""negative""]",False
chưa nhận được hàng,2,[2],"[""negative""]",False
chất lượng kém,3,[1],"[""negative""]",False
chất lượng phù hợp với chi phí mua sản phẩm,2,[3],"[""neutral""]",False
chất lượng phù hợp với giá tiền mua sản phẩm,2,[3],"[""neutral""]",False
chất lượng quá kém,2,[1],"[""negative""]",False
"chất lượng sản phẩm giống cam kết,giao sản phẩm đúng thời gian",2,[5],"[""positive""]",False
"chất lượng sản phẩm giống cam kết,thời gian giao hàng đúng thời gian",2,[5],"[""positive""]",False
chất lượng sản phẩm kém,2,[1],"[""negative""]",False
"chất lượng sản phẩm tạm ổn giá cả nhưng thời gian giao sản phẩm lâu, chỉ sau một lần giặt sẽ bị nhão vải",2,[2],"[""negative""]",False
"chất lượng sản phẩm tạm ổn giá cả nhưng thời gian thời gian giao hàng lâu, chỉ sau một lần giặt sẽ bị nhão vải",2,[2],"[""negative""]",False
"chất lượng sản phẩm đúng như lời hứa, giao sản phẩm đúng hẹn",2,[5],"[""positive""]",False
"chất lượng sản phẩm đúng như lời hứa, thời gian giao hàng đúng hẹn",2,[5],"[""positive""]",False
chất lượng sản phẩm ổn vừa với giá tiền nhưng giao sản phẩm hơi lâu và vải bị dóc chỉ sau 1 lần giặt,2,[2],"[""negative""]",False
chất lượng sản phẩm ổn vừa với giá tiền nhưng thời gian giao hàng hơi lâu và vải bị dóc chỉ sau 1 lần giặt,2,[2],"[""negative""]",False
chất lượng tạm ổn,2,[3],"[""neutral""]",False
chất lượng tốt,5,[4],"[""positive""]",False
chất lượng và ga tốt nhưng size cửa sản phẩm gửi không đúng 1m8 mà size cửa sản phẩm gửi là 1m6,2,[4],"[""positive""]",False
chất lượng và sản phẩm tốt nhưng size cửa sản phẩm gửi không đúng 1m8 mà size cửa sản phẩm gửi là 1m6,2,[4],"[""positive""]",False
chất lượng âm thanh quá tệ,2,[1],"[""negative""]",False
chất lượng ổn,2,[3],"[""neutral""]",False
chắc sản phẩm hạ giá nên vậy,2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, hàng trông đẹp , và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, hàng đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, sp trông đẹp , và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, sp đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, sản phẩm trông đẹp , và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, sản phẩm đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, tủ trông đẹp , và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ giao hàng chậm quá thôi, tủ đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ thời gian giao hàng chậm quá thôi, hàng đẹp, và chắc chắn,",4,[3],"[""neutral""]",False
"chỉ thời gian giao hàng chậm quá thôi, sp đẹp, và chắc chắn,",4,[3],"[""neutral""]",False
"chỉ thời gian giao hàng chậm quá thôi, sản phẩm đẹp, và chắc chắn,",4,[3],"[""neutral""]",False
"chỉ thời gian giao hàng chậm quá thôi, tủ đẹp, và chắc chắn,",4,[3],"[""neutral""]",False
"chỉ tốc độ giao hàng chậm quá thôi, hàng đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ tốc độ giao hàng chậm quá thôi, sp đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ tốc độ giao hàng chậm quá thôi, sản phẩm đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
"chỉ tốc độ giao hàng chậm quá thôi, tủ đẹp, và chắc chắn,",2,[3],"[""neutral""]",False
cửa hàng không kiểm tra hàng hóa trước khi thời gian giao hàng cho khách,2,[2],"[""negative""]",False
cửa sản phẩm cung cấp không đúng mẫu mã,2,[2],"[""negative""]",False
cửa sản phẩm không cung cấp đúng mẫu mã và kích thước,2,[1],"[""negative""]",False
cửa sản phẩm đang hoạt động tốt,2,[4],"[""positive""]",False
cực kì hài lòng,2,[5],"[""positive""]",False
cực kỳ hài lòng,2,[5],"[""positive""]",False
dùng rất ok,2,[5],"[""positive""]",False
dùng rất tốt,3,[5],"[""positive""]",False
giao hàng chậm,5,[2],"[""negative""]",False
giao hàng không đúng,2,[2],"[""negative""]",False
giao hàng lâu,3,[2],"[""negative""]",False
giao hàng nhanh,20,[4],"[""positive""]",False
giao hàng quá chậm,2,[1],"[""negative""]",False
giao hàng quá muộn,2,[1],"[""negative""]",False
giao hàng đúng hẹn,2,"[3, 4]","[""neutral"", ""positive""]",True
giao k đúng mẫu,2,[2],"[""negative""]",False
giao sp chậm,2,[2],"[""negative""]",False
giao sp nhanh,2,[4],"[""positive""]",False
giao sp quá muộn,2,[1],"[""negative""]",False
giao sản phẩm chậm,4,[2],"[""negative""]",False
"giao sản phẩm chậm, màu k như hình",2,[1],"[""negative""]",False
giao sản phẩm k đúng mẫu,2,[2],"[""negative""]",False
giao sản phẩm không đúng,2,[2],"[""negative""]",False
giao sản phẩm lâu có nửa tháng mới nhận được,2,[2],"[""negative""]",False
giao sản phẩm nhanh,4,[4],"[""positive""]",False
"giao sản phẩm nhanh chóng, chất liệu ổn, nhưng mẫu đơn đặt sản phẩm bị sai",2,[4],"[""positive""]",False
"giao sản phẩm nhanh chóng, sản phẩm ngon tại cửa sản phẩm, khuyến mãi dịch vụ tốt",2,[5],"[""positive""]",False
