review_id,text,rating,sentiment_label,sentiment_5class,text_length,split
sent_000001,Mình mua giá sách dự kiến giao thứ 6 nhưng hôm nay thứ 4 đã giao rồi,4,positive,rating_4,17,test
sent_000002,"Trước tiên là giá, với giá 485k so với chất lượng gia công, chất lượng gỗ, kích thước kệ như vậy là quá hời",5,positive,rating_5,24,train
sent_000003,Sản phẩm không làm mình thất vọng 👍👍👍👍,5,positive,rating_5,8,train
sent_000004,Xuất sắc cả về chất lượng và kiểu dáng,5,positive,rating_5,9,train
sent_000005,"nhận được sản phẩm lúc nào cũng sớm hơn ngày giao hàng dự tính, cảm ơn tiki",4,positive,rating_4,17,train
sent_000006,"Hầu hết mọi thứ đều ổn, sản phẩm chất lượng tốt",4,positive,rating_4,11,train
sent_000007,Chất liệu chắc chắn,4,positive,rating_4,4,test
sent_000008,"Nhân viên giao hàng nhiệt tình, hàng đc giao nguyên vẹn, giấy hướng dẫn đơn giản và dễ hiểu, theo mình thấy thì ko có khó khăn j trong vc lắp ráp ngoài việc khối lượng hơi nặng so vs các bạn nữ",5,positive,rating_5,43,valid
sent_000009,"giao hàng nhanh , shipper nhiệt tình ,hàng nặng và cồng kềnh, anh ấy trở về tận nhà cho ,",5,positive,rating_5,20,train
sent_000010,Đầu tiên like cho tiki về giao hàng và đóng gói,5,positive,rating_5,11,train
sent_000011,"Đẹp như hình quảng cáo, chắc chắn, vẫn gỗ đẹp, khít 99%, không chênh lỗ nào",5,positive,rating_5,16,train
sent_000012,Nhận hàng từ tiki sớm hơn dự kiến,4,positive,rating_4,8,train
sent_000013,"Mới nhận được sáng nay, tiki giao hàng nhanh hơn dự tính, bạn shipper vui vẻ nhiệt tình",5,positive,rating_5,18,train
sent_000014,"Mình thấy nhận xét và hình ảnh từ mọi người đều ráp được đều đẹp tuy nhiên kệ giao cho mình bị lỗi kích thước ạ, 2 ngăn đánh dấu bị quá ngắn nên khi ráp vào bắt vít hở 1 khoảng to nên 2 cạnh bị bó vào",2,negative,rating_2,49,train
sent_000015,"Đã đặt mua vào ngày 18/05/2020, đến ngày 19/05/2022 => giao hàng cực nhanh",5,positive,rating_5,14,train
sent_000016,"Kệ chất lượng so với giá thành lắp ráp dễ, chủ shop biết lắng nghe người mua khi đã cho thêm vít phòng trường hợp mất đinh vít (do một số người mua trước phản ánh)",5,positive,rating_5,36,train
sent_000017,Cực kỳ ưng luôn,5,positive,rating_5,4,train
sent_000018,"Hài lòng vè sản phẩm, giao hàng nhanh, đặt hôm trước hôm sau đã có hàng, lắp ráp dễ, nhanh, kệ đẹp ổn trong tầm giá",5,positive,rating_5,26,train
sent_000019,"Giá sách cứng cáp, phẳng phiu, các lỗ khoan rất chính xác nên lắp rất chuẩn",5,positive,rating_5,16,train
sent_000020,nhìn chung thì chất lượng hơn cả giá tiền bỏ ra,5,positive,rating_5,11,test
sent_000021,"kệ lấp vào hoàn chỉnh nhìn rất đẹp, ai cũng khen mua đáng tiền",5,positive,rating_5,14,train
sent_000022,"Tủ đẹp và rẻ, mua về phải tự lắp theo hướng dẫn cũng dễ nhưng do có 1 thanh dài khoan 6 lỗ không khớp khi bắt ốc vào nên mình đã phải mò tới mò lui xem có phải do mình ráp sai chỗ nào không và cuối cùng không phải do mình mà là nhà sản xuất 😁 sau đó mình tự vặn ốc vào đại (do không có đồ khoan) nó không khít như khi có mũi khoan, nên mình chấm 4",4,positive,rating_4,85,train
sent_000023,"Kệ sau khi lắp ráp thì cực kỳ cứng cáp, đẹp",5,positive,rating_5,11,test
sent_000024,"sản phẩm tầm 500k, tốt trong tầm giá",4,positive,rating_4,8,test
sent_000025,Cứ sợ mua về gỗ không được chắc chắn hay bị trầy xước nhưng khi nhận hàng thì rất hài lòng nha,5,positive,rating_5,22,train
sent_000026,"Hình dáng sản phẩm đúng thiết kế, dễ lắp đặt, chỉ cần để ý kĩ các chỗ bắt vít là được, mình mất 45p là xong",4,positive,rating_4,26,train
sent_000027,"Mình đã nhận được sản phẩm, mình thấy với mức giá này là quá rẻ mà chất lượng thì tốt nên mình đặt hẳn 2 cái luôn, có điều cái đầu tiên thì giao nhanh còn cái còn lại đợi lâu nên hơi sốt ruột, mãi nay mới về đủ, sản phẩm nhỏ gọn ko quá to cũng ko quá nhỏ với kích thước này mình chưng sách là quá ok, vừa hay 3 cái kệ nhà mình đã đầy ko còn chỗ chứa hyhy mua được thêm 2 cái kệ vừa rẻ vừa đẹp thích lắm luôn, mua đi các bạn ko hối hận đâu",5,positive,rating_5,106,valid
sent_000028,Mua hàng rất nhiều lần nhưng đây là lần đầu tiên đánh giá vì thực sự quá ưng sản phẩm,5,positive,rating_5,20,train
sent_000029,"kệ to, đẹp, chắc chắn, mua với giá 395k với kệ sách như này là cực kì hài lòng, lắp ráp rất đơn giản mình lắp tầm nửa tiếng là xong",5,positive,rating_5,31,train
sent_000030,"Kệ rất chắc chắn, miếng gỗ dày có khoan lỗ sẵn để bắt vít",4,positive,rating_4,14,train
sent_000031,vô địch trong tầm giá,5,positive,rating_5,5,train
sent_000032,Hì hục mất 8h ngày chủ nhật để tính sao ráp 3 bộ vào một và đi đèn cho kệ,3,neutral,rating_3,20,test
sent_000033,"tủ đẹp, y như mô tả",4,positive,rating_4,6,train
sent_000034,"Giao hàng nhanh, đặt chiều thứ 4 đến chiều thứ 6 đã nhận được",4,positive,rating_4,14,train
sent_000035,Rất hài lòng với sản phẩm,5,positive,rating_5,6,train
sent_000036,"Giao hàng nhanh, một mình tự lắp thì mất hơn 1 tiếng",4,positive,rating_4,12,train
sent_000037,"kệ đẹp y hình quảng cáo luôn, cao, to, cảm thấy chắc chắn lắm, lỗ bắn vít vừa đẹp, lại quá rẻ, mua về rồi thấy cứ muốn khoe :)))",5,positive,rating_5,30,train
sent_000038,Lần đầu đặt mua shipper k gọi giao nhưng lại báo mình k nhận trong khi mình chờ mòn mông cả gần tuần,2,negative,rating_2,23,valid
sent_000039,"Sản phẩm rất tốt và đáng tiền, thời gian giao hàng rất nhanh, nhân viên rất nhiệt tình, tuy nhiên tiki gói hàng quá chắc chắn và NHIỀU Ni lông, bọc rất nhiều lớp điều này gây ô nhiễm môi trường",4,positive,rating_4,41,train
sent_000040,"Kẹ đẹp, các thanh gỗ gia công tốt, lỗ vít chính xác",5,positive,rating_5,12,train
sent_000041,"Lắp ráp không khó, tuy nhiên hướng dẫn cần chi tiết hơn, các bước, nên đánh số các miếng để người lắp dễ hơn",3,neutral,rating_3,24,valid
sent_000042,"Giao hàng siêu nhanh, đặt trưa thứ tư sáng thứ sáu đã giao",5,positive,rating_5,13,train
sent_000043,"Sản phẩm đáp ứng đúng kỳ vọng, màu gỗ sáng bóng, đẹp, dễ lắp, rất thích kiểu thiết kế",5,positive,rating_5,19,train
sent_000044,Mk mua hàng trên tiki đã lâu đây là lần đầu tiên tiki khiến mk k hài lòng,3,neutral,rating_3,18,test
sent_000045,"Mình đặt hàng từ hôm thứ 3, trưa nay đã được ship tới rồi",4,positive,rating_4,14,test
sent_000046,Sản phẩm hợp giá thành và tốt,5,positive,rating_5,7,valid
sent_000047,"Mình rất hài lòng về sp này, tuy là thiếu 1 con ốc nhưng nhà mình vẫn có ốc để thay thế",4,positive,rating_4,22,train
sent_000048,"Nhờ Tiki và nhà cung cấp đổi cho mình 1 miếng ghép như trên do khi mình vít ốc vào thì miếng tiếp ván tiếp ốc rất lỏng, không vít khít được dẫn đến các miếng ghép rất lỏng, di chuyển là sẽ bung vít",2,negative,rating_2,45,train
sent_000049,"Mua lâu rồi mà giờ mới có thời gian đánh giá, sản phẩm tốt, dễ dàng lắp ráp, bên giao hàng hỗ trợ bê vào tận nhà mình luôn nên rất ưng, tuy nhiên có hơi lệch khoảng 1mm nhưng k đáng kể, dự là sẽ mua thêm 1 cái để mở rộng cái kho sách nhớ nhỏ của mình",4,positive,rating_4,60,train
sent_000050,Mua hàng trên Tiki chưa bao giờ làm mình thất vọng,3,neutral,rating_3,11,train
sent_000051,Vẫn như thường lệ,3,neutral,rating_3,4,train
sent_000052,Đóng gói rất chắc chắn,5,positive,rating_5,5,train
sent_000053,2 tấm ở ngay bước lắp đầu tiên khoan sai lỗ,2,negative,rating_2,11,train
sent_000054,Thật sự hơi bị thất vọng về lần mua hàng này,1,negative,rating_1,11,valid
sent_000055,"giao hàng nhanh hơn dự kiến, dù có trầy xước một tẹo không đáng kể",4,positive,rating_4,15,train
sent_000056,"Rất không vui khi mình mua sản phẩm Tiki khá nhiều mà lần này sản phẩm đến tay khi mở ra bị mẻ mất 1 góc, không hài lòng chút nào, rất muốn bên Tiki đổi lại sản phẩm mới cho mình",1,negative,rating_1,42,train
sent_000057,"Mới nhận được hàng trưa nay, hàng nặng đã loay hoay lắp còn gặp ngay trường hợp lỗ không khớp vậy thì làm sao mà lắp được?! Cần gấp đã chờ đợi có hàng để sắp xếp đồ đạc mà tới hôm nay nhận được sản phẩm lỗi như thế này",1,negative,rating_1,51,train
