review_id,text,true_label,predicted_label,text_length,rating
sent_003576,hazzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,neutral,negative,1,3
sent_003923,Mỏng,neutral,negative,1,3
sent_002289,Tiếc ghê 🤧,neutral,negative,3,3
sent_004181,Cần sửa lỗi,neutral,negative,3,3
sent_000763,Hàng như trong hình,neutral,negative,4,3
sent_002795,đã nhận được đâu???,negative,neutral,4,1
sent_003588,Mình sẽ trả hàng,neutral,negative,4,3
sent_004097,Số tiền bạn đã trả,neutral,negative,5,3
sent_004495,Nhận thời gian giao hàng,neutral,negative,5,3
sent_001119,chất lượng tương ứng giá cả,neutral,positive,6,3
sent_001663,"hàng hóa giao đúng, chất lượng",positive,neutral,6,5
sent_004006,"Mẫu mã đẹp, vải hơi mỏng",neutral,negative,6,3
sent_004138,Hang động này cũng được DC,neutral,negative,6,3
sent_002403,Tiền nào của đấy chán thực sự,negative,neutral,7,1
sent_003419,Chất lượng tương ứng với giá 1K,neutral,positive,7,3
sent_001120,giá rẻ cho một kệ gỗ như vậy,positive,neutral,8,4
sent_002362,"Hàng giao nhanh, nghe được nhưng bị lỗi",neutral,negative,8,3
sent_003733,Giá khá rẻ nên các bạn cân nhắc,positive,neutral,8,4
sent_000623,"hàng ok, bị rớt móp hết 2 góc nhỏ",neutral,negative,9,3
sent_001144,Chất lượng gỗ Ok nhưng Kick thước quá nhỏ,negative,neutral,9,2
sent_003372,Mua về đủ để đáp ứng nhu cầu nghe,neutral,negative,9,3
sent_003395,Tạm ổn với giá tiền không thể rẻ hơn,positive,neutral,9,4
sent_003421,Chất lg tạm được nhưng mà rẻ nên ok,positive,neutral,9,4
sent_001135,chưa bao giờ thất vọng khi mua hàng trên tiki,positive,neutral,10,5
sent_001335,"Thấy cũng ổn , không biết sau có hạn không",neutral,negative,10,3
sent_003592,Mọi ng nên lưu ý khj mua hàng ở shop này,neutral,negative,11,3
sent_000303,"Giá cả ko biết có rẻ ko, nhưng giao đủ đồ để lắp",positive,neutral,13,4
